,primary_isbn10,title,author,publisher,weeks_on_list
1903,,DOING HARD TIME,Stuart Woods,Putnam,0
1904,1101636459,W IS FOR WASTED,Sue Grafton,Marian Wood/Putnam,0
1905,988210886,SECRETS COLLIDE,Kathleen Brooks,Kathleen Brooks,0
1906,1451684789,INHERIT THE DEAD,Lee Child,Touchstone,0
1907,385350406,THE LOWLAND,Jhumpa Lahiri,Knopf,0
1908,1455576425,THE QUEST,Nelson DeMille,Center Street,0
1909,None,DEADLINE,Sandra Brown,Grand Central,0
1910,None,THANKLESS IN DEATH,J D Robb,Putnam,0
1911,,THE FINAL CUT,Catherine Coulter and JT Ellison,Putnam,0
1912,1460319559,GETTING ROWDY,Lori Foster,Harlequin HQN,0
1913,None,THE ARRANGEMENT 10,HM Ward,Laree Bailey Press,0
1914,None,"MIRROR, MIRROR",JD Robb and others,Jove,0
1915,,THE MAYAN SECRETS,Clive Cussler and Thomas Perry,Putnam,0
1916,,THE SILENT WIFE,A S A Harrison,Penguin,0
1917,1476727244,REVEALING US,Lisa Renee Jones,Gallery,0
1918,None,BEAUTIFUL BOMBSHELL,Christina Lauren,Gallery Books,0
1919,145554647X,ENVY,Sandra Brown,Grand Central Publishing,0
1920,None,HIGH HEAT,Lee Child,Delacorte,0
1921,1455582727,BREAKING NOVA,Jessica Sorensen,Forever,0
1922,None,RUIN,Rachel Van Dyken,Rachel Van Dyken,0
1923,988986221,WICKED FIRSTS,Elisabeth Naughton and others,Indie Six,0
1924,62073206,THE ENGLISH GIRL,Daniel Silva,Harper,0
1925,,THE KILL LIST,Frederick Forsyth,Putnam,0
1926,,DUST,Hugh Howey,Hugh Howey,0
1927,None,ROCK CHICK REVOLUTION,Kristen Ashley,Kristen Ashley,0
1928,316211192,SECOND HONEYMOON,James Patterson and Howard Roughan,"Little, Brown",0
1929,,STRIPPED,Jasinda Wilder,Seth Clarke,0
1930,1476717117,HIDDEN ORDER,Brad Thor,Emily Bestler/Atria,0
1931,None,THE SKY UNWASHED,Irene Zatko,Algonquin,0
1932,None,THE REDEMPTION OF CALLIE AND KAYDEN,Jessica Sorensen,Forever,0
1933,62121774,THE BEAST,Faye Kellerman,Morrow/HarperCollins,0
1934,316228583,THE CASUAL VACANCY,J K Rowling,"Little, Brown & Company",0
1935,None,THE OCEAN AT THE END OF THE LANE,Neil Gaiman,Morrow/HarperCollins,0
1936,985547367,THE ARRANGEMENT 9: THE FERRO FAMILY,H M Ward,Laree Bailey Press,0
1937,1455546445,THE WITNESS,Sandra Brown,Grand Central,0
